 Point_X, Point_Y, Object Type
-3.714769505337243,-4.51747583665701,EmptySpace
5.9132688162911045,7.1361884795125,Wall
6.23539044267727,7.526080706514774,Wall
6.0138107347501,7.257883234797463,Wall
5.818806970937597,7.021852973185856,Wall
6.120979652663973,7.387599232259777,Wall
5.9132688162911045,7.1361884795125,Wall
6.23539044267727,7.526080706514774,Wall
6.0138107347501,7.257883234797463,Wall
5.818806970937597,7.021852973185856,Wall
6.120979652663973,7.387599232259777,Wall
-3.9278057027281705,-4.0651313013731025,EmptySpace
5.367897384645669,7.186278356987505,Wall
5.560328813335717,7.419195094428933,Wall
5.460925631854893,7.2988786529857625,Wall
5.666701261614863,7.54794705441538,Wall
5.280715783503069,7.080754772605862,Wall
5.7807133674603985,7.685945966044012,Wall
5.367897384645669,7.186278356987505,Wall
5.560328813335717,7.419195094428933,Wall
5.460925631854893,7.2988786529857625,Wall
5.666701261614863,7.54794705441538,Wall
5.280715783503069,7.080754772605862,Wall
5.7807133674603985,7.685945966044012,Wall
-4.1408419001190975,-3.6127867660891955,EmptySpace
5.212226345729372,7.708057005221033,Wall
5.106728488502682,7.580363639955419,Wall
4.917090057392635,7.350827513926811,Wall
5.008565550206109,7.461548374271716,Wall
5.521627051521827,8.082551979590992,Wall
4.831728425461579,7.24750679886793,Wall
5.325792046590523,7.845515593508262,Wall
5.212226345729372,7.708057005221033,Wall
5.106728488502682,7.580363639955419,Wall
4.917090057392635,7.350827513926811,Wall
5.008565550206109,7.461548374271716,Wall
5.521627051521827,8.082551979590992,Wall
4.831728425461579,7.24750679886793,Wall
5.325792046590523,7.845515593508262,Wall
-4.353878097510025,-3.1604422308052884,EmptySpace
4.466713820867788,7.515898458011981,Wall
4.9933557807913065,8.15333969066386,Wall
4.870858636857305,8.005070588754538,Wall
4.757807314063953,7.868234597629212,Wall
4.999626793681044,8.160930050890737,Wall
5.084637756990345,8.263826320775262,Wall
5.175973200087709,8.37437766659139,Wall
4.653285753055686,7.741722929820811,Wall
4.556490334947441,7.624562894484975,Wall
4.466713820867788,7.515898458011981,Wall
4.9933557807913065,8.15333969066386,Wall
4.870858636857305,8.005070588754538,Wall
4.757807314063953,7.868234597629212,Wall
4.999626793681044,8.160930050890737,Wall
5.084637756990345,8.263826320775262,Wall
5.175973200087709,8.37437766659139,Wall
4.653285753055686,7.741722929820811,Wall
4.556490334947441,7.624562894484975,Wall
-4.566914294900952,-2.7080976955213814,EmptySpace
4.017134075051731,7.6819334650808155,Wall
4.538651277030203,8.313171751005836,Wall
4.416165357293,8.164916234732276,Wall
4.648135392370104,8.44569003619565,Wall
4.487933625086029,8.251783701756594,Wall
4.565001334058282,8.345065550039367,Wall
4.303720392335382,8.02881417199787,Wall
4.20030456376557,7.90364086972467,Wall
4.737889370490334,8.554327195408481,Wall
4.1050340210504075,7.78832652562534,Wall
4.017134075051731,7.6819334650808155,Wall
4.538651277030203,8.313171751005836,Wall
4.416165357293,8.164916234732276,Wall
4.648135392370104,8.44569003619565,Wall
4.487933625086029,8.251783701756594,Wall
4.565001334058282,8.345065550039367,Wall
4.303720392335382,8.02881417199787,Wall
4.20030456376557,7.90364086972467,Wall
4.737889370490334,8.554327195408481,Wall
4.1050340210504075,7.78832652562534,Wall
7.744843401612215,4.761096595816231,Wall
7.91948985395662,4.8670496463073585,Wall
7.5835017948774155,4.6632152178940425,Wall
7.744843401612215,4.761096595816231,Wall
7.91948985395662,4.8670496463073585,Wall
7.5835017948774155,4.6632152178940425,Wall
-4.7015591126503775,-2.226568077477772,EmptySpace
7.550585245870492,5.206460492051836,Wall
7.209327908324392,4.999429341804435,Wall
7.372766171876922,5.0985827019666825,Wall
7.550585245870492,5.206460492051836,Wall
7.209327908324392,4.999429341804435,Wall
7.372766171876922,5.0985827019666825,Wall
-4.836203930399803,-1.745038459434163,EmptySpace
6.6868846998317455,5.24569267230979,Wall
6.54753192375855,5.161151294450905,Wall
7.004517710984803,5.438391613608538,Wall
7.18589254803072,5.548426584312951,Wall
6.838734056850512,5.337815371484505,Wall
6.6868846998317455,5.24569267230979,Wall
6.54753192375855,5.161151294450905,Wall
7.004517710984803,5.438391613608538,Wall
7.18589254803072,5.548426584312951,Wall
6.838734056850512,5.337815371484505,Wall
-4.970848748149228,-1.263508841390554,EmptySpace
6.178877860108477,5.5007141384004825,Wall
